# Generado automaticamente por convertidor unificado v3 (KeyError fix)
# Motor1,Motor2,DuracionMs
47359,5274,375
31608,0,188
31608,0,186
29834,5274,186
31608,5274,188
0,5274,188
47359,19912,373
31608,0,188
31608,10548,188
31608,0,186
29834,5274,186
31608,0,188
29834,2637,188
31608,6271,186
26579,3322,186
26579,6644,188
39824,9956,188
35479,5274,373
31608,5274,188
0,10548,188
31608,5274,186
29834,2489,186
31608,4978,188
29834,7458,188
23679,5919,186
0,8869,186
0,11839,188
0,15804,188
0,14917,186
26579,3322,186
26579,6644,188
39824,9956,188
35479,5274,373
31608,5274,188
0,10548,188
31608,5274,186
37589,2489,186
35479,4978,188
31608,7458,188
39824,14917,373
25087,8869,188
47359,0,188
25087,4978,186
47359,3322,186
0,6644,188
31608,9956,188
31608,5274,186
29834,0,186
31608,5274,188
0,10548,188
47359,5274,186
0,2489,186
31608,4978,188
31608,7458,188
31608,5919,186
29834,8869,186
31608,11839,188
29834,15804,188
31608,14917,186
26579,3322,186
26579,6644,188
39824,9956,188
35479,5274,373
31608,5274,188
0,10548,188
31608,5274,186
37589,2489,186
35479,4978,188
31608,7458,188
39824,14917,373
47359,9956,188
0,9956,188
0,9956,186
26579,6644,1500
39824,9956,750
26579,13289,375
31608,0,375
39824,0,375
53159,0,375
63217,0,375
53159,0,375
59668,0,375
47359,0,1500
35479,15804,375
31608,0,375
29834,0,375
23679,14917,375
19912,0,561
26579,6644,79
19912,3322,79
15804,0,78
13289,0,5762
