# Generado automaticamente por convertidor unificado v3 (KeyError fix)
# Motor1,Motor2,DuracionMs
47359,4698,273
47359,4698,272
47359,31608,272
42192,5274,272
37589,5274,272
42192,5274,272
0,42192,273
0,7040,271
42192,7040,273
42192,7040,272
42192,35479,271
37589,5919,273
35479,5919,272
47359,5919,272
0,23679,272
0,7902,272
47359,7902,272
47359,7902,273
47359,39824,271
42192,7902,273
39824,7902,272
42192,7902,271
0,42192,273
0,5274,272
0,5274,272
0,5274,136
0,5274,135
0,5274,272
0,5274,272
0,5274,273
0,5274,135
0,5274,135
44701,33488,273
0,5587,272
0,5587,271
0,5587,137
0,5587,136
0,5587,272
0,5587,272
0,5587,272
22350,5587,272
0,22350,272
22350,3729,273
25087,25087,271
18794,3729,273
22350,22350,272
25087,3729,271
25087,25087,273
29834,3729,137
0,3729,135
0,14917,272
29834,3135,272
33488,14917,272
25087,3135,272
29834,14917,273
33488,3135,271
0,14917,273
37589,3135,272
0,25087,271
39824,4978,273
37589,19912,272
39824,4978,135
0,19912,137
37589,19912,272
33488,4978,272
33488,19912,272
37589,3729,136
0,3729,137
33488,25087,271
29834,4978,273
33488,25087,272
0,4978,135
0,25087,135
37589,25087,273
0,3729,272
39824,25087,272
0,4978,272
44701,22350,272
0,3729,272
0,3729,273
50175,3729,135
0,3729,135
0,25087,273
0,4698,272
37589,4698,272
33488,4698,137
0,4698,135
29834,25087,272
25087,6271,272
29834,6271,271
37589,6271,137
0,6271,136
0,29834,272
0,3729,272
33488,3729,271
0,3729,272
29834,29834,272
25087,4978,272
29834,29834,272
39824,4698,272
0,29834,272
0,4186,271
0,4186,273
0,4978,272
0,29834,272
44701,5587,271
0,5587,272
0,5587,272
37589,5587,136
33488,0,135
29834,5587,272
33488,5587,272
0,5587,272
33488,44701,271
0,7458,273
0,7458,272
37589,50175,135
33488,0,135
29834,7040,272
0,7040,272
0,37589,272
0,33488,272
0,18794,272
0,25087,272
0,29834,272
0,29834,271
0,5587,273
0,5587,272
0,33488,271
0,5587,272
0,19912,272
0,25087,272
0,29834,272
0,29834,137
0,4978,135
0,5587,272
0,5587,272
0,37589,271
0,5587,137
0,5587,136
0,29834,272
0,3729,271
0,25087,137
0,4698,135
0,22350,545
0,22350,272
0,25087,272
0,7458,272
59668,44701,272
0,7458,271
50175,7458,273
0,50175,272
44701,7040,271
37589,7040,272
33488,37589,272
29834,33488,272
37589,29834,272
37589,25087,272
0,29834,272
37589,37589,272
33488,5587,271
29834,5587,273
